"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"POU2F2",-0.80739598958547,4.98660120203509,-3.39712068295294,0.00120850089032665,0.00371922314818896,-1.46705747219654
"FCGR2B",-0.856948980457264,5.93368318133334,-3.38578725490644,0.00125116526818831,0.00383487240737392,-1.49937607548716
"NFKBIA",-0.64284196159829,9.28753802677193,-3.38273467997375,0.00126289794619208,0.00385516215153371,-1.50806836542948
"TANK",-0.656946077149573,8.25337057926316,-3.38009057349768,0.00127314471508011,0.0038707706256871,-1.51559323934474
"OSM",-0.820466509119658,4.53051049480702,-3.36241545517489,0.00134368818266252,0.00406883891456843,-1.56579235590916
"TLR7",-0.66155503534188,3.92091552047368,-3.33409423289982,0.00146447639017953,0.00441686079278146,-1.64585340712474
"EBI3",-0.79892783934188,3.23586266066667,-3.29893277790936,0.00162872249901336,0.00489265643129909,-1.7446043441247
"C1S",-0.847575312512821,8.86487317466667,-3.28340525828275,0.00170665402142568,0.00510641719109111,-1.78798336975904
"CSF1",-0.819647754675214,4.6302273028421,-3.27282894937228,0.00176173366353196,0.00525038411977509,-1.81744904710331
"ICAM3",-0.678695237478633,6.64420045442106,-3.2597708306507,0.00183204910262078,0.00543844497392154,-1.85373789351762
"CXCL2",-1.21162076674359,5.54884583217544,-3.25842906887521,0.00183942207822498,0.00543891861561425,-1.85746096074
"IL15",-0.734923665777778,4.9763405437193,-3.24896150916259,0.00189224576289532,0.00557325509852762,-1.88370077807646
"CD44",-0.560423417641026,10.4429613488772,-3.23447815801926,0.0019758248779957,0.00579677804672668,-1.92373882061344
"S100A4 (FSP-1)",-0.879408873786325,9.5519111101579,-3.23012875784621,0.00200159425378401,0.00584962041609744,-1.93573791844295
"LYN",-0.901751620641025,5.07501200929824,-3.22317330607851,0.00204346186166516,0.0059489198598283,-1.95490302648712
"CD83",-0.741499981025641,7.13113189761404,-3.21954904170225,0.00206560268891926,0.00599024779786585,-1.96487785238134
"CASP8",-0.554640958871795,7.11777275038596,-3.20766949807331,0.00213976672687711,0.00618154832208942,-1.99751776683279
"S100A12",-0.719516277393162,2.19613452673684,-3.19837568201462,0.00219952474381737,0.00632992998793244,-2.02299388481018
"CCL21",-1.42962801250855,4.81601636592982,-3.19548984148959,0.00221839695386418,0.00635996693237108,-2.03089390015073
"IFITM1",-0.965630388222223,9.20779512626316,-3.18866422406473,0.00226364057745399,0.00646509467954662,-2.04955901839982
"CD40LG",-0.664198921995726,4.2319731127193,-3.17924340785871,0.00232751082281071,0.00662242702037463,-2.07527444420667
"SLC11A1",-0.985762219294871,5.77813534638596,-3.15125379158085,0.00252739051151175,0.0071641069386461,-2.15135679735103
"JAK2",-0.622054253341881,7.40187845963158,-3.14521748187226,0.00257255601606092,0.00726482110902596,-2.16770201267391
"HAMP",-0.644584198380342,3.28049540801754,-3.13194419171067,0.00267454412254353,0.00752465025521576,-2.20356477220381
"VCAM1",-0.921315220713675,6.38487599145614,-3.11268507729968,0.002829275733384,0.00793038625639975,-2.2554069158677
"IL6R",-0.677898469611111,5.46424986640351,-3.1106701609128,0.00284593927412522,0.00794754893589042,-2.260817426463
"NFATC4",0.700211197739317,6.66636035747368,3.10347781477077,0.00290617245839431,0.00808580824217457,-2.28010992794179
"CXCR5",-0.808100464555555,3.17007735294737,-3.1013237181238,0.00292444294714779,0.00810212542521143,-2.28588173535409
"CXCL14",1.51119699527778,8.02601033577193,3.1002572484197,0.00293352817119724,0.00810212542521143,-2.2887382238183
"IL4R",-0.687493512944444,6.8403563177193,-3.09518070456671,0.00297713809233919,0.00819256248767792,-2.30232577938341
"HLA-DQA1",-2.69351298871795,7.41373807264912,-3.08120015237596,0.00310039105838167,0.00850070857461738,-2.33966197548604
"GZMM",-0.941217981388889,3.50230806303509,-2.98648935359178,0.00406934203341954,0.0111169706275302,-2.58934062020863
"CCL17",-0.791586109534188,4.14096206401754,-2.97913808636517,0.00415527759085418,0.0113107556083179,-2.60848025629774
"DDX58",-0.695124200568376,7.35709653473684,-2.95462798876908,0.00445413991627341,0.0120806528664394,-2.67204148306406
"CSF3R",-0.898875769440171,5.22524875024561,-2.93521352928915,0.00470490684540044,0.0127150529083582,-2.72211086580685
"IL6",-1.01068929218803,3.74049767610526,-2.91830245889603,0.00493394724773441,0.0132864150885419,-2.7655230003144
"CFB",-1.29160765723504,6.8609191845614,-2.88739846949671,0.00537940456397167,0.0144344165168493,-2.84436933243437
"FLT3",-0.823480185098291,3.40479493291228,-2.88434314356342,0.00542540951396063,0.0144801268184822,-2.85213013575339
"CARD9",-1.01848594339316,4.80625577159649,-2.88371922649756,0.00543484865998735,0.0144801268184822,-2.85371417895269
"TGFB1",-0.605354552405982,7.85989493996491,-2.87049405382511,0.00563853893675247,0.014969923796871,-2.88723022209914
"CD47",-0.588675299042735,8.95775079963158,-2.86169895717969,0.00577788141323202,0.0152860441599191,-2.90945473281088
"PLAUR",-0.791213727952991,6.12288108817544,-2.8386907928888,0.00615759086821991,0.0162336486525798,-2.96734957140821
"LILRA4",-0.628203864367521,3.58245447389474,-2.82103864731387,0.00646437742779057,0.0169830682249272,-3.01152580843344
"CD180",-0.72887291665812,4.69258770736842,-2.8163491635688,0.00654821529844526,0.0171435914410685,-3.0232263190759
"CASP3",-0.408486348517094,6.46677922345614,-2.80711594142989,0.00671622147408093,0.0175225985863565,-3.04622015395702
"MAP2K4",0.420130971978633,5.77870685792982,2.73530517862829,0.00816470203092203,0.0212282252803973,-3.22306624719625
"IL32",-1.67344846002991,9.05278485787719,-2.73026398559585,0.00827644872648796,0.0214448190370169,-3.2353477270076
"HLA-C",-0.706486378337607,10.7994180773684,-2.72419666639645,0.00841280012596688,0.0217234633389693,-3.25010571638087
