"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CXCL10",-2.42934345759829,6.53934671261403,-4.96702089792135,5.87340849640972e-06,3.27350732836466e-05,3.59449781927092
"CD8B",-1.44843955621795,4.16604404359649,-4.96580045556404,5.89969085341671e-06,3.27350732836466e-05,3.59020105500916
"HAVCR2",-1.01194459041453,5.53063221708772,-4.96557913037832,5.90446945169223e-06,3.27350732836466e-05,3.58942189039414
"C3AR1",-1.16918656132906,5.30155300654386,-4.956642491587,6.10062176321491e-06,3.35756847406134e-05,3.55797281232223
"NCF4",-1.15309988935043,4.92364071729825,-4.95448953594528,6.14882421217155e-06,3.35957496809953e-05,3.55039979571682
"CASP1",-1.23134275787607,5.2766272327193,-4.95222664728068,6.19989039222174e-06,3.36310601132028e-05,3.54244155253917
"IRF5",-1.01072829304701,4.85659547440351,-4.8845635963673,7.93439424983729e-06,4.2732380459838e-05,3.3051820463061
"CD70",-1.65198323301282,3.4565558581579,-4.86022973008534,8.66781646107042e-06,4.63513022102631e-05,3.2201930694127
"SLAMF7",-1.75576272936752,4.65470179770176,-4.84275286359228,9.23511656632104e-06,4.90371682465216e-05,3.15926521982146
"ITGAX",-1.16046197368803,6.8251044608421,-4.83833785417407,9.38408344850049e-06,4.94797127284571e-05,3.14388857668342
"CD68",-1.07812915277778,7.2796187632807,-4.82062497115655,1.00057387455417e-05,5.23911598204057e-05,3.08225904001108
"ITGAM",-1.09250249978205,5.31438859487719,-4.79327034163531,1.10457363001888e-05,5.70444189749478e-05,2.98727613320938
"CCL19",-2.31801189148718,6.58160467061404,-4.75619831349838,1.26254758295382e-05,6.47592433705566e-05,2.85893233529351
"IL18R1",-1.12941754017094,4.34439925203509,-4.74656715094938,1.30707779088211e-05,6.63287134385818e-05,2.82566171393037
"HCK",-1.12421710925641,6.60604261968421,-4.71039314867086,1.4884575719229e-05,7.48198006153245e-05,2.70097054303936
"STAT4",-1.15426471125214,4.02788797864912,-4.64554557424262,1.8770679417244e-05,9.31124492144867e-05,2.47853341663051
"CR1",-1.05997827950427,4.3360709222807,-4.63851399946352,1.92473292517467e-05,9.48528513452092e-05,2.45449972958709
"NFATC2",-1.1616746079188,6.67250951561403,-4.62412681611538,2.02596842964844e-05,9.9038083229953e-05,2.40537779612196
"MRC1",-1.28575271939744,4.54282628835088,-4.62274939916529,2.03592876666349e-05,9.9038083229953e-05,2.40067864986882
"S100A8",-3.13382403625214,6.39604621361404,-4.60871279631725,2.14019244370847e-05,0.000102783764494024,2.35282938949828
"TLR2",-1.02077788323504,6.65911533835088,-4.59643792666261,2.23562435850743e-05,0.000106687390273076,2.31104192776274
"CD274",-1.35795792822222,4.79462026622807,-4.58854531318667,2.29916461370808e-05,0.000109029567216094,2.28420089362153
"TTK",-1.25503911674359,5.7894947592807,-4.55270849848525,2.61051623774583e-05,0.000122256474736668,2.16260462786229
"TNFRSF18",-1.31892198929487,5.51095265063158,-4.52288481700349,2.9006258362844e-05,0.000134176188991315,2.06176118118805
"CCR2",-1.28555544449145,4.07793458722807,-4.50942648069151,3.04160562184861e-05,0.000139839673102064,2.01635960635958
"RUNX3",-1.30317017053846,6.51032939392983,-4.50497665500856,3.08966984744208e-05,0.000141188549392202,2.00136268370126
"CD97",-1.00896251038462,7.00125032792983,-4.47122506310619,3.47910027644991e-05,0.000156145333835907,1.88784903169265
"HLA-G",-1.1077078751453,6.92798813703509,-4.46755992121803,3.52415911735748e-05,0.000157231714466718,1.87554775076875
"TARP",-1.19140556903846,4.85723003861404,-4.4615781379417,3.59892070104607e-05,0.000159622718152279,1.85548188910107
